시군구,제주특별자치도 서귀포시,제주특별자치도 제주시,제주합계(L)
총계(개소수),2992,1818,4810
"총계(이용량, L)",98066850,145255949,243322799
생활용(개소수),560,864,1424
"생활용(이용량, L)",49875613,92177643,142053256
공업용(개소수),54,94,148
"공업용(이용량, L)",1078843,1552339,2631182
농업용(개소수),2377,854,3231
"농업용(이용량, L)",47073893,50472563,97546456
기타용(개소수),1,6,7
"기타용(이용량, L)",38501,1053404,1091905
